file: Tile_012-012-000000_0-000.s0001_e00.tif; corr: 0; position: (0.0, 921.9832079697735); grid: (0, 0);
file: Tile_012-013-000000_0-000.s0001_e00.tif; corr: 0; position: (3686.1413713952497, 906.2282821202898); grid: (1, 0);
file: Tile_012-014-000000_0-000.s0001_e00.tif; corr: 0; position: (7385.034524513554, 890.6905771553647); grid: (2, 0);
file: Tile_012-015-000000_0-000.s0001_e00.tif; corr: 0; position: (11079.66899795091, 874.5419903182265); grid: (3, 0);
file: Tile_012-016-000000_0-000.s0001_e00.tif; corr: 0; position: (14776.062075839, 859.8169857039393); grid: (4, 0);
file: Tile_012-017-000000_0-000.s0001_e00.tif; corr: 0; position: (18464.433206716727, 844.335688595158); grid: (5, 0);
file: Tile_012-018-000000_0-000.s0001_e00.tif; corr: 0; position: (22158.501534160052, 829.1325455694023); grid: (6, 0);
file: Tile_012-019-000000_0-000.s0001_e00.tif; corr: 0; position: (25863.445721895434, 812.353033773019); grid: (7, 0);
file: Tile_012-020-000000_0-000.s0001_e00.tif; corr: 0; position: (29541.713056612178, 798.8756931606331); grid: (8, 0);
file: Tile_012-021-000000_0-000.s0001_e00.tif; corr: 0; position: (33248.1573887642, 782.8220062056571); grid: (9, 0);
file: Tile_012-022-000000_0-000.s0001_e00.tif; corr: 0; position: (36943.1867389307, 768.7680932760632); grid: (10, 0);
file: Tile_012-023-000000_0-000.s0001_e00.tif; corr: 0; position: (40640.4762295392, 754.2775479287084); grid: (11, 0);
file: Tile_012-024-000000_0-000.s0001_e00.tif; corr: 0; position: (44323.10701138299, 739.4134883342631); grid: (12, 0);
file: Tile_012-025-000000_0-000.s0001_e00.tif; corr: 0; position: (48027.0837388846, 725.9579924566424); grid: (13, 0);
file: Tile_012-026-000000_0-000.s0001_e00.tif; corr: 0; position: (51726.003915816604, 710.8389337369299); grid: (14, 0);
file: Tile_012-027-000000_0-000.s0001_e00.tif; corr: 0; position: (55416.985008321586, 696.5471111821098); grid: (15, 0);
file: Tile_012-028-000000_0-000.s0001_e00.tif; corr: 0; position: (59113.938263781776, 681.5073083904281); grid: (16, 0);
